,phrase,translation
0,Disai,
1,siin iti sid mija diti,
2,Ihibai poka,
3,vaig iti sangit inumon ku,
4,Tinolon,
5,tarob ilot addau,
6,Nababol,
7,kinulat ilo munung di Orong,
8,Omu oku kogoos tumakad,
9,Nabalu,
10,Oruol iti angkakis ku noongipan,
11,kabou,
12,Anakvagu,
13,Montuson ongokakansang,
14,Pinilai ku yalo,
15,binulugu,
16,Managad kito,
17,vulu ong minsosodop,
18,Nolingan ku mananom i sakat ku,
19,padang,
20,Mangakan ko ka,
21,torosok,
22,Nakalabus it uzog,
23,karabau,
24,Karaharti noma manangama di Norika ilot angaanak,
25,nosingkapu dau,
26,Varo bajil,
27,hiza mononjipun po ong sid mozium,
28,Piro ot inaddahan ka,
29,mangagaji i bos mongomot,
30,Ino robuk,
31,kazu ot isudu ong muapui no,
32,Kadan no mangamu ong tahankan,
33,siin onuvoni,
34,id gulu mamanau ong kikinavid,
35,sotirip,
36,Notongkop ku no mananom,
37,nizuw i tana ku,
38,sinamu,
39,Avuk oku diti Nenum oku dioti,
40,lihing sid sombol,
41,Humuzas no iti pogun,
42,valai diti tu ongorobuk no itit origi dau,
43,Dadan,
44,lumohing no amu tantu korongou ong pibabarasan,
45,Onuvo dikou i dunsul Pongodunsul ku dilo paku,
46,nokotulai,
47,Mibilad kito kai isai dikito,
48,banalko ahakang,
49,Ginit no sinod raan,
50,koliabas,
51,Nunu o nabambaran dau sid tanga,
52,vazaan,
53,Yoku diti ulun,
54,mosikim,
55,Sabap pogi om amu mangakan oku,
56,lada husukon oku ong koponosok oku no,
57,Samung kou di YB kaluto ong manahak yalo,
58,siin,
59,Monorou oku po,
60,lumundu oku,
61,Osorou ku,
62,langadon ko dohon,
63,Akahag o pongoretan ong ondu,
64,songkovozoo,
65,Kalu ong kosunu okoi Kumudat opungai oku laid,
66,siin pamayal ku dino karan tokou,
67,Biano bala i jumumpa oku,
68,dokutul diri,
69,Higak sid ginavoku tu nolingasan no Yama,
70,sakit,
71,Topik sitid raan,
72,Nunu ka gingis di kazu,
73,koubat,
74,Ogumu banal,
75,rinda ino banat nu mogontong,
76,Nozuzu it alunalun kumaa sid Ranau tu kologod,
77,darun,
78,Nantakan,
79,zuzu i valai di Welson,
80,Sumakap po mangakan,
81,lada ong biano tu tinunuvan pahi ot ikana,
82,Iseso oku po sid alud yosido sid saralom,
83,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
84,Sid siba,
85,mija i kunsi,
86,Nakanu Yoboi,
87,poliputan sid luvang,
88,Toduko ilo tivak,
89,nizuw avahai dilot alad,
90,Mangagama oku po,
91,tinopis tiakan okuI will cook pancake,
92,I gansing positio dikou pangalap ku dinot vaig,
93,nuza,
94,Atagon no sid ralan mamaagbaang mang ulun,
95,neduan tuo,
96,Minomoros ko nga amu,
97,tisobu ko sampai nokosobu ko sinod suval nu,
98,Makan tokou varo dinonsul ku,
99,mampalam,
100,Mongovit oku po,
101,pazung tu dumarun dati,
102,Karahati ko noka mongining boros,
103,Kina,
104,Avantang tanaman,
105,punti ino napu dino,
106,Biruvokon oku ong tumuddung no antad sid savat,
107,bangunan,
108,Mamanau kito sid Kudat,
109,suvab,
110,Minduzuw oku po diti tingkang,
111,binatang,
112,Magamut oku po sid apui notogipan oku,
113,Toun vagu muvalai oku,
114,banalko agazo o valai,
115,Mansakpunti dino gingis,
116,vulanut nga osilou o votik dot inan dau,
117,Mongoho oku,
118,yoku minanganu di siin nu,
119,I tokou solumpak vagu apatut,
120,mongohorumat di momodlohing no,
121,Dika ka,
122,banat iti,
123,Managad kito do vulu,
124,minsosodop,
125,Varo bajil do hiza mononjipun po,
126,sid mozium,
127,Atarom,
128,baladou,
129,Ogumu ma dahava,
130,ikau o barasan to,
131,Ino robuk do kazu ot isudu,
132,muapui no,
133,Kadan no mangamu,
134,tahankan do siin onuvoni,
135,id gulu mamanau,
