,phrase,translation
0,tahankan,
1,siin onuvoni,
2,po sid alud yosido sid saralom,
3,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
4,kosunu okoi Kumudat opungai oku laid,
5,siin pamayal,
6,manahak yalo,
7,siin,
8,Sumakap po mangakan,
9,lada,
10,mangakan,
11,sid alud yosido sid saralom,
12,siin pamayal ku,
13,ondu,
14,songkovozoo,
15,Dadan,
16,lumohing,
17,Iseso oku po sid alud yosido sid saralom,
18,vaig Na ka di ginavo ku Ong aso,
19,antad sid savat,
20,bangunan,
21,Yama,
22,sakit,
23,iti pogun,
24,valai diti,
25,valai,
26,pogun,
27,valai diti tu ongorobuk,
28,mananom,
29,nizuw,
30,laid,
31,siin pamayal ku dino karan tokou,
32,vaig Na ka,
33,po,
34,pazung,
35,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
36,vaig Na,
37,vaig Na ka di ginavo,
38,noongipan,
39,kabou,
40,no mananom,
41,dilo paku,
42,nokotulai,
43,savat,
44,saralom,
45,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
46,Nakanu Yoboi,
47,poliputan,
48,luvang,
49,vatu,
50,tanga,
51,vazaan,
52,kazu,
53,koubat,
54,nolingasan no Yama,
55,kologod,
56,darun,
57,lada ong biano,
58,Varo bajil,
59,hiza mononjipun,
60,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
61,gingis,
62,vulanut nga osilou o votik,
63,vulanut nga osilou,
64,tingkang,
65,binatang,
66,Nenum oku dioti,
67,lihing,
68,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
69,pongoretan ong ondu,
70,Nantakan,
71,zuzu,
72,Nababol,
73,kinulat,
74,Ogumu banal,
75,rinda,
76,Mansakpunti dino gingis,
77,mangamu,
78,tumuhop,
79,Kalu,
80,YB kaluto,
81,biano,
82,biano tu tinunuvan pahi ot ikana,
83,tumuhop oku diti ka di ginavo ku,
84,Akahag o pongoretan,
85,pongoretan,
86,amu tantu korongou,
87,pibabarasan,
88,koindakadan di kuvoon dino osuhul,
89,Biruvokon oku,
90,tumuddung,
91,minggamagama,
92,mamung mimomoi,
93,obogihad,
94,siti,
95,modsu,
96,biano no,
97,biruvokon oku,
98,asavat,
99,tu biruvokon oku,
100,tumuhop oku diti,
101,kosunu okoi Kumudat opungai,
102,Nabalu,
103,yoku diti tu biruvokon,
104,no,
105,langadon,
106,yoku diti,
107,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
108,yoku,
109,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
110,magazau,
111,vitilon,
112,Ong aso no koindakadan di kuvoon dino osuhul,
113,dikau,
114,banal noko ozi,
115,banal noko ozi ko dohon,
116,tumuddung no antad,
117,tagad,
118,iti,
119,ropuhan,
120,sogiton,
121,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
122,kuvoon dino osuhul,
123,tumuhop oku diti ka,
124,ulun,
125,anak,
126,ilo duatan ku dikau,
127,bai ponugirak,
128,yalo,
129,yalo dino,
130,duatan ku dikau,
131,dolou nu,
132,mindolongoi,
133,Amu kendakod oku Nabalu,
134,Adavasi no minggamagama,
135,mangakan do lada,
136,Osindak,
137,buluntung,
138,osuhul,
139,tumuhop oku,
140,ondu do songkovozoo do kusai,
141,koindakadan di kuvoon dino osuhul ong tumuhop,
142,ong tumuddung,
143,ginavoku tu nolingasan,
144,Humuzas,
145,nolingasan,
146,koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
147,itit origi dau,
148,Notongkop ku,
149,Kadan,
